nombre,tipos,generacion,categoria,habilidades,peso,altura,ps,ataque,defensa,ataque_s,defensa_s,velocidad,foto
Nidoran♀,Tipo veneno,Primera generación,Pin veneno,"Punto tóxico,Rivalidad","7,0 kg","0,4 m",55,47,52,40,40,41,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c8/latest/20230613021248/Nidoran%E2%99%80.png/200px-Nidoran%E2%99%80.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c8/latest/20230613021248/Nidoran%E2%99%80.png/200px-Nidoran%E2%99%80.png"
Nidorina,Tipo veneno,Primera generación,Pin veneno,"Punto tóxico,Rivalidad","20,0 kg","0,8 m",70,62,67,55,55,56,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/31/latest/20230613021249/Nidorina.png/200px-Nidorina.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/31/latest/20230613021249/Nidorina.png/200px-Nidorina.png"
Nidoqueen,"Tipo veneno,Tipo tierra",Primera generación,Taladro,"Punto tóxico,Rivalidad","60,0 kg","1,3 m",90,92,87,75,85,76,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20230613021302/Nidoqueen.png/200px-Nidoqueen.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20230613021302/Nidoqueen.png/200px-Nidoqueen.png"
Nidoran♂,Tipo veneno,Primera generación,Pin veneno,"Punto tóxico,Rivalidad","9,0 kg","0,5 m",46,57,40,40,40,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/60/latest/20230613021056/Nidoran%E2%99%82.png/200px-Nidoran%E2%99%82.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/60/latest/20230613021056/Nidoran%E2%99%82.png/200px-Nidoran%E2%99%82.png"
Nidorino,Tipo veneno,Primera generación,Pin veneno,"Punto tóxico,Rivalidad","19,5 kg","0,9 m",61,72,57,55,55,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7a/latest/20230613021105/Nidorino.png/200px-Nidorino.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7a/latest/20230613021105/Nidorino.png/200px-Nidorino.png"
Nidoking,"Tipo veneno,Tipo tierra",Primera generación,Taladro,"Punto tóxico,Rivalidad","62,0 kg","1,4 m",81,102,77,85,75,85,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/76/latest/20230613021117/Nidoking.png/200px-Nidoking.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/76/latest/20230613021117/Nidoking.png/200px-Nidoking.png"
Clefairy,Tipo hada,Primera generación,Hada,"Gran encanto,Muro mágico","7,5 kg","0,6 m",70,45,48,60,65,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d2/latest/20230717180740/Clefairy.png/200px-Clefairy.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d2/latest/20230717180740/Clefairy.png/200px-Clefairy.png"
Clefable,Tipo hada,Primera generación,Hada,"Gran encanto,Muro mágico","40,0 kg","1,3 m",95,70,73,95,90,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d5/latest/20230717180839/Clefable.png/200px-Clefable.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d5/latest/20230717180839/Clefable.png/200px-Clefable.png"
Vulpix,Tipo fuego,Primera generación,Zorro,Absorbe fuego,"9,9 kg","0,6 m",38,41,40,50,65,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8d/latest/20230613015324/Vulpix.png/200px-Vulpix.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8d/latest/20230613015324/Vulpix.png/200px-Vulpix.png"
Ninetales,Tipo fuego,Primera generación,Zorro,Absorbe fuego,"19,9 kg","1,1 m",73,76,75,81,100,100,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/98/latest/20230613015530/Ninetales.png/200px-Ninetales.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/98/latest/20230613015530/Ninetales.png/200px-Ninetales.png"
Jigglypuff,"Tipo normal,Tipo hada",Primera generación,Globo,"Gran encanto,Tenacidad","5,5 kg","0,5 m",115,45,20,45,25,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/af/latest/20150110232910/Jigglypuff.png/200px-Jigglypuff.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/af/latest/20150110232910/Jigglypuff.png/200px-Jigglypuff.png"
Wigglytuff,"Tipo normal,Tipo hada",Primera generación,Globo,"Gran encanto,Tenacidad","12,0 kg","1,0 m",140,70,45,85,50,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f1/latest/20220905202016/Wigglytuff.png/200px-Wigglytuff.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f1/latest/20220905202016/Wigglytuff.png/200px-Wigglytuff.png"
Zubat,"Tipo veneno,Tipo volador",Primera generación,Murciélago,Fuerza mental,"7,5 kg","0,8 m",40,45,35,30,40,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/67/latest/20230617053751/Zubat.png/200px-Zubat.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/67/latest/20230617053751/Zubat.png/200px-Zubat.png"
Golbat,"Tipo veneno,Tipo volador",Primera generación,Murciélago,Fuerza mental,"55,0 kg","1,6 m",75,80,70,65,75,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2c/latest/20230716212355/Golbat.png/200px-Golbat.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2c/latest/20230716212355/Golbat.png/200px-Golbat.png"
Oddish,"Tipo planta,Tipo veneno",Primera generación,Hierbajo,Clorofila,"5,4 kg","0,5 m",45,50,55,75,65,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d9/latest/20230617054434/Oddish.png/200px-Oddish.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d9/latest/20230617054434/Oddish.png/200px-Oddish.png"
Gloom,"Tipo planta,Tipo veneno",Primera generación,Hierbajo,Clorofila,"8,6 kg","0,8 m",60,65,70,85,75,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/59/latest/20230617054450/Gloom.png/200px-Gloom.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/59/latest/20230617054450/Gloom.png/200px-Gloom.png"
Vileplume,"Tipo planta,Tipo veneno",Primera generación,Flor,Clorofila,"18,6 kg","1,2 m",75,80,85,110,90,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/32/latest/20230617054502/Vileplume.png/200px-Vileplume.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/32/latest/20230617054502/Vileplume.png/200px-Vileplume.png"
Paras,"Tipo bicho,Tipo planta",Primera generación,Hongo,"Efecto espora,Piel seca","5,4 kg","0,3 m",35,70,55,45,55,25,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ee/latest/20230627050525/Paras.png/200px-Paras.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ee/latest/20230627050525/Paras.png/200px-Paras.png"
Parasect,"Tipo bicho,Tipo planta",Primera generación,Hongo,"Efecto espora,Piel seca","29,5 kg","1,0 m",60,95,80,60,80,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/62/latest/20230627050534/Parasect.png/200px-Parasect.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/62/latest/20230627050534/Parasect.png/200px-Parasect.png"
Venonat,"Tipo bicho,Tipo veneno",Primera generación,Insecto,"Ojo compuesto,Cromolente","30,0 kg","1,0 m",60,55,50,40,55,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d3/latest/20230617054458/Venonat.png/200px-Venonat.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d3/latest/20230617054458/Venonat.png/200px-Venonat.png"
Venomoth,"Tipo bicho,Tipo veneno",Primera generación,Polilla Venenosa,"Polvo escudo,Cromolente","12,5 kg","1,5 m",70,65,60,90,75,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c2/latest/20230617054514/Venomoth.png/200px-Venomoth.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c2/latest/20230617054514/Venomoth.png/200px-Venomoth.png"
Diglett,Tipo tierra,Primera generación,Topo,"Velo arena,Trampa arena","0,8 kg","0,2 m",10,55,25,35,45,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7a/latest/20200411223149/Diglett.png/200px-Diglett.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7a/latest/20200411223149/Diglett.png/200px-Diglett.png"
Dugtrio,Tipo tierra,Primera generación,Topo,"Velo arena,Trampa arena","33,3 kg","0,7 m",35,100,50,50,70,120,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20200411223255/Dugtrio.png/200px-Dugtrio.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20200411223255/Dugtrio.png/200px-Dugtrio.png"
Meowth,Tipo normal,Primera generación,Gato araña,"Recogida,Experto","4,2 kg","0,4 m",40,45,35,40,40,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20160904210550/Meowth.png/200px-Meowth.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20160904210550/Meowth.png/200px-Meowth.png"
Persian,Tipo normal,Primera generación,Gato fino,"Flexibilidad,Experto","32,0 kg","1,0 m",65,70,60,65,65,115,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b3/latest/20230206193723/Persian.png/200px-Persian.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b3/latest/20230206193723/Persian.png/200px-Persian.png"
Psyduck,Tipo agua,Primera generación,Pato,"Humedad,Aclimatación","19,6 kg","0,8 m",50,52,48,65,50,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/32/latest/20230614194705/Psyduck.png/200px-Psyduck.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/32/latest/20230614194705/Psyduck.png/200px-Psyduck.png"
Golduck,Tipo agua,Primera generación,Pato,"Humedad,Aclimatación","76,6 kg","1,7 m",80,82,78,95,80,85,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cf/latest/20230617053129/Golduck.png/200px-Golduck.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cf/latest/20230617053129/Golduck.png/200px-Golduck.png"
Mankey,Tipo lucha,Primera generación,Mono cerdo,"Espíritu vital,Irascible","28,0 kg","0,5 m",40,80,35,35,45,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20230620060838/Mankey.png/200px-Mankey.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20230620060838/Mankey.png/200px-Mankey.png"
Primeape,Tipo lucha,Primera generación,Mono cerdo,"Espíritu vital,Irascible","32,0 kg","1,0 m",65,105,60,60,70,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e0/latest/20230620060848/Primeape.png/200px-Primeape.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e0/latest/20230620060848/Primeape.png/200px-Primeape.png"
Growlithe,Tipo fuego,Primera generación,Perrito,"Intimidación,Absorbe fuego","19,0 kg","0,7 m",55,70,45,70,50,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bb/latest/20211210200407/Growlithe.png/200px-Growlithe.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bb/latest/20211210200407/Growlithe.png/200px-Growlithe.png"
Arcanine,Tipo fuego,Primera generación,Leyenda,"Intimidación,Absorbe fuego","155,0 kg","1,9 m",90,110,80,100,80,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/50/latest/20150621185018/Arcanine.png/200px-Arcanine.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/50/latest/20150621185018/Arcanine.png/200px-Arcanine.png"
Poliwag,Tipo agua,Primera generación,Renacuajo,"Absorbe agua,Humedad","12,4 kg","0,6 m",40,50,40,40,40,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/90/latest/20230620061036/Poliwag.png/200px-Poliwag.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/90/latest/20230620061036/Poliwag.png/200px-Poliwag.png"
Poliwhirl,Tipo agua,Primera generación,Renacuajo,"Absorbe agua,Humedad","20,0 kg","1,0 m",65,65,65,50,50,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/24/latest/20230620061041/Poliwhirl.png/200px-Poliwhirl.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/24/latest/20230620061041/Poliwhirl.png/200px-Poliwhirl.png"
Poliwrath,"Tipo agua,Tipo lucha",Primera generación,Renacuajo,"Absorbe agua,Humedad","54,0 kg","1,3 m",90,95,95,70,90,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/85/latest/20230620061049/Poliwrath.png/200px-Poliwrath.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/85/latest/20230620061049/Poliwrath.png/200px-Poliwrath.png"
Abra,Tipo psíquico,Primera generación,Psi,"Sincronía,Fuerza mental","19,5 kg","0,9 m",25,20,15,105,55,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f6/latest/20200411223435/Abra.png/200px-Abra.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f6/latest/20200411223435/Abra.png/200px-Abra.png"
Kadabra,Tipo psíquico,Primera generación,Psi,"Fuerza mental,Sincronía","56,5 kg","1,3 m",40,35,30,120,70,105,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b0/latest/20220912175715/Kadabra.png/200px-Kadabra.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b0/latest/20220912175715/Kadabra.png/200px-Kadabra.png"
Alakazam,Tipo psíquico,Primera generación,Psi,"Fuerza mental,Sincronía","48,0 kg","1,5 m",55,50,45,135,95,120,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f5/latest/20230716211853/Alakazam.png/200px-Alakazam.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f5/latest/20230716211853/Alakazam.png/200px-Alakazam.png"
Machop,Tipo lucha,Primera generación,Superpoder,"Agallas,Indefenso","19,5 kg","0,8 m",70,80,50,35,35,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20230327203924/Machop.png/200px-Machop.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20230327203924/Machop.png/200px-Machop.png"
Machoke,Tipo lucha,Primera generación,Superpoder,"Agallas,Indefenso","70,5 kg","1,5 m",80,100,70,50,60,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ca/latest/20200411223604/Machoke.png/200px-Machoke.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ca/latest/20200411223604/Machoke.png/200px-Machoke.png"
Machamp,Tipo lucha,Primera generación,Superpoder,"Agallas,Indefenso","130,0 kg","1,6 m",90,130,80,65,85,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bf/latest/20230614200701/Machamp.png/200px-Machamp.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bf/latest/20230614200701/Machamp.png/200px-Machamp.png"
Bellsprout,"Tipo planta,Tipo veneno",Primera generación,Flor,Clorofila,"4,0 kg","0,7 m",50,75,35,70,30,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20230716212054/Bellsprout.png/200px-Bellsprout.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20230716212054/Bellsprout.png/200px-Bellsprout.png"
Weepinbell,"Tipo planta,Tipo veneno",Primera generación,Atrapamoscas,Clorofila,"6,4 kg","1,0 m",65,90,50,85,45,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f9/latest/20230807041154/Weepinbell.png/200px-Weepinbell.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f9/latest/20230807041154/Weepinbell.png/200px-Weepinbell.png"
Victreebel,"Tipo planta,Tipo veneno",Primera generación,Atrapamoscas,Clorofila,"15,5 kg","1,7 m",80,105,65,100,70,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/55/latest/20230807041157/Victreebel.png/200px-Victreebel.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/55/latest/20230807041157/Victreebel.png/200px-Victreebel.png"
Tentacool,"Tipo agua,Tipo veneno",Primera generación,Medusa,"Cuerpo puro,Viscosecreción","45,5 kg","0,9 m",40,40,35,50,100,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20230617053650/Tentacool.png/200px-Tentacool.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20230617053650/Tentacool.png/200px-Tentacool.png"
